generation,fish,shark
747,3816,1249
748,3782,1145
749,3770,1087
750,3774,1028
751,3799,971
752,3839,919
753,3906,868
754,3984,824
755,4079,786
756,4185,751
757,4312,723
758,4445,698
759,4596,678
760,4558,1319
761,4237,1304
762,4045,1292
763,3906,1280
764,3810,1269
765,3754,1258
766,3714,1246
767,3693,1231
768,3692,1102
769,3721,1037
770,3762,972
771,3828,911
772,3901,856
773,3998,812
774,4097,771
775,4222,736
776,4356,707
777,4509,683
778,4666,662
779,4838,646
780,4808,1265
781,4498,1251
782,4318,1240
783,4187,1231
784,4101,1221
785,4033,1213
786,3992,1204
787,3964,1193
788,3958,1089
789,3974,1031
790,4006,973
791,4057,919
792,4113,871
793,4185,828
794,4278,789
795,4380,755
796,4506,727
797,4642,704
798,4785,682
799,4941,665
800,4889,1296
801,4549,1283
802,4347,1272
803,4197,1261
804,4091,1252
805,4012,1242
806,3959,1232
807,3919,1220
808,3897,1111
809,3893,1052
810,3910,993
811,3944,941
812,3999,891
813,4066,846
814,4156,808
815,4249,773
816,4363,744
817,4490,719
818,4637,696
819,4796,677
820,4762,1321
821,4428,1306
822,4237,1294
823,4085,1283
824,3986,1271
825,3914,1261
826,3874,1250
827,3838,1236
828,3836,1113
829,3843,1050
830,3874,989
831,3914,929
832,3981,875
833,4044,827
834,4144,785
835,4244,750
836,4370,720
837,4501,695
838,4656,673
839,4811,655
840,4781,1280
841,4457,1268
842,4280,1256
843,4149,1245
844,4066,1235
845,4004,1224
846,3971,1214
847,3958,1202
848,3967,1090
849,3989,1028
850,4021,965
851,4075,910
852,4147,859
853,4233,816
854,4333,779
855,4453,748
856,4573,723
857,4716,700
858,4865,681
859,5024,665
860,4971,1308
861,4626,1298
862,4421,1289
863,4259,1280
864,4146,1272
865,4068,1264
866,4007,1255
867,3960,1243
868,3939,1142
869,3932,1081
870,3943,1023
871,3968,963
872,4013,911
873,4071,866
874,4146,824
875,4238,787
876,4345,758
877,4469,732
878,4607,709
879,4756,690
880,4707,1349
881,4345,1334
882,4130,1321
883,3963,1309
884,3847,1298
885,3769,1287
886,3713,1276
887,3681,1262
888,3674,1135
889,3685,1069
890,3718,1006
891,3768,941
892,3839,883
893,3923,835
894,4023,791
895,4141,755
896,4275,722
897,4416,696
898,4567,672
899,4728,654
900,4689,1276
901,4363,1263
902,4176,1251
903,4039,1241
904,3949,1231
905,3887,1221
906,3862,1211
907,3837,1199
908,3845,1090
909,3862,1028
910,3913,968
911,3964,911
912,4043,862
913,4129,817
914,4233,780
915,4353,746
916,4488,717
917,4641,692
918,4801,670
919,4976,652
920,4941,1272
921,4630,1258
922,4446,1245
923,4315,1233
924,4215,1223
925,4152,1215
926,4106,1206
927,4074,1194
928,4065,1088
929,4069,1036
930,4097,981
931,4143,932
932,4202,887
933,4277,848
934,4371,815
935,4474,783
936,4605,756
937,4721,732
938,4875,714
939,5017,698
940,4952,1367
941,4553,1354
942,4315,1344
943,4120,1334
944,3990,1326
945,3879,1317
946,3797,1307
947,3732,1296
948,3700,1190
949,3678,1129
950,3692,1064
951,3716,1002
952,3769,945
953,3824,894
954,3908,847
955,4000,806
956,4118,770
957,4241,740
958,4387,714
959,4538,690
960,4499,1346
961,4147,1329
962,3943,1317
963,3791,1304
964,3686,1294
965,3621,1283
966,3581,1271
967,3555,1257
968,3563,1127
969,3590,1057
970,3637,988
971,3701,922
972,3776,862
973,3878,810
974,3984,764
975,4116,724
976,4248,690
977,4406,663
978,4564,638
979,4734,618
980,4718,1200
981,4455,1185
982,4314,1173
983,4219,1162
984,4170,1152
985,4139,1142
986,4127,1132
987,4122,1120
988,4140,1010
989,4175,958
990,4230,908
991,4292,862
992,4370,820
993,4461,783
994,4562,749
995,4681,720
996,4801,696
997,4935,674
998,5071,655
999,5225,639
