generation,fish,shark
1049,30029,3392
1050,30467,6434
1051,28917,6295
1052,27997,6171
1053,27501,5568
1054,27299,5074
1055,27469,4606
1056,27909,4188
1057,28526,3853
1058,29420,3578
1059,30466,3344
1060,30875,6295
1061,29429,6151
1062,28466,6034
1063,28022,5434
1064,27818,5001
1065,27937,4570
1066,28436,4207
1067,29093,3889
1068,29961,3633
1069,31092,3428
1070,31418,6521
1071,29829,6386
1072,28707,6268
1073,28007,5675
1074,27693,5229
1075,27666,4762
1076,27916,4368
1077,28477,4033
1078,29225,3744
1079,30205,3517
1080,30493,6671
1081,28799,6527
1082,27643,6402
1083,26941,5762
1084,26612,5274
1085,26646,4781
1086,27012,4351
1087,27538,3994
1088,28388,3688
1089,29481,3444
1090,29889,6497
1091,28351,6344
1092,27400,6215
1093,26882,5579
1094,26644,5100
1095,26854,4608
1096,27336,4185
1097,27965,3824
1098,28930,3543
1099,30106,3313
1100,30579,6252
1101,29220,6109
1102,28313,5992
1103,27890,5411
1104,27758,4952
1105,27906,4516
1106,28348,4152
1107,29058,3836
1108,29925,3567
1109,30986,3351
1110,31414,6368
1111,29911,6234
1112,28854,6113
1113,28344,5521
1114,28096,5080
1115,28092,4650
1116,28527,4246
1117,29039,3912
1118,29825,3642
1119,30876,3432
1120,31105,6511
1121,29421,6378
1122,28347,6254
1123,27688,5655
1124,27363,5202
1125,27406,4764
1126,27687,4371
1127,28229,4026
1128,28984,3748
1129,29913,3530
1130,30287,6706
1131,28575,6558
1132,27379,6426
1133,26744,5779
1134,26415,5272
1135,26434,4745
1136,26823,4302
1137,27433,3943
1138,28275,3632
1139,29377,3389
1140,29891,6391
1141,28480,6238
1142,27537,6118
1143,27060,5511
1144,26941,5037
1145,27122,4578
1146,27607,4169
1147,28329,3817
1148,29260,3526
1149,30372,3299
1150,30853,6229
1151,29483,6087
1152,28538,5973
1153,28095,5369
1154,28016,4927
1155,28142,4495
1156,28620,4111
1157,29332,3800
1158,30172,3535
1159,31248,3332
1160,31644,6357
1161,30037,6225
1162,28978,6113
1163,28367,5558
1164,28059,5130
1165,28099,4714
1166,28408,4319
1167,28895,3980
1168,29689,3704
1169,30632,3481
1170,30842,6605
1171,29191,6463
1172,28006,6339
1173,27335,5689
1174,27021,5209
1175,27056,4739
1176,27374,4332
1177,27947,3988
1178,28742,3719
1179,29707,3491
1180,30109,6592
1181,28565,6455
1182,27423,6328
1183,26844,5677
1184,26608,5196
1185,26689,4702
1186,27098,4263
1187,27798,3877
1188,28657,3589
1189,29766,3363
1190,30305,6360
1191,28822,6216
1192,27843,6104
1193,27432,5510
1194,27253,5047
1195,27434,4589
1196,27932,4181
1197,28578,3844
1198,29488,3588
1199,30587,3364
1200,31007,6368
1201,29518,6234
1202,28494,6118
1203,27964,5529
1204,27795,5074
1205,27867,4621
1206,28273,4225
1207,28961,3879
1208,29734,3607
1209,30708,3384
1210,31063,6407
1211,29442,6274
1212,28398,6160
1213,27843,5550
1214,27544,5101
1215,27641,4662
1216,28030,4277
1217,28619,3938
1218,29458,3670
1219,30509,3450
1220,30864,6559
1221,29227,6422
1222,28103,6301
1223,27490,5714
1224,27148,5239
1225,27174,4782
1226,27517,4365
1227,28041,4003
1228,28827,3712
1229,29850,3464
1230,30186,6536
1231,28643,6382
1232,27579,6249
1233,27062,5586
1234,26855,5097
1235,26950,4612
1236,27445,4196
1237,28126,3854
1238,28969,3577
1239,30107,3345
1240,30563,6350
1241,29058,6211
1242,28168,6095
1243,27681,5498
1244,27500,5036
1245,27734,4573
1246,28150,4179
1247,28757,3841
1248,29639,3575
1249,30743,3348
1250,31086,6341
1251,29589,6206
1252,28598,6097
1253,28045,5505
1254,27875,5048
1255,28009,4608
1256,28392,4240
1257,29035,3917
1258,29882,3655
1259,30873,3440
1260,31173,6530
1261,29540,6398
1262,28369,6286
1263,27711,5702
1264,27409,5228
1265,27335,4781
1266,27617,4379
1267,28170,4018
1268,28917,3711
1269,29915,3476
1270,30252,6547
1271,28667,6383
1272,27616,6249
1273,27037,5613
1274,26811,5148
1275,26954,4677
1276,27437,4281
1277,28079,3931
1278,28976,3641
1279,30109,3423
1280,30526,6485
1281,29025,6344
1282,28034,6227
1283,27486,5593
1284,27315,5131
1285,27440,4652
1286,27827,4239
1287,28503,3900
1288,29354,3621
1289,30388,3403
1290,30777,6429
1291,29226,6292
1292,28171,6177
1293,27547,5574
1294,27338,5135
1295,27427,4689
1296,27760,4284
1297,28403,3945
1298,29216,3666
1299,30253,3441
1300,30649,6517
1301,29083,6376
1302,28016,6259
1303,27372,5653
1304,27142,5175
1305,27193,4712
1306,27507,4305
1307,28118,3961
1308,28911,3681
1309,29862,3439
1310,30240,6514
1311,28677,6367
1312,27614,6236
1313,27083,5593
1314,26924,5093
1315,27018,4605
1316,27481,4194
1317,28173,3869
1318,29011,3610
1319,30100,3395
1320,30588,6444
1321,29065,6311
1322,28057,6193
1323,27582,5567
1324,27338,5087
1325,27482,4622
1326,27943,4237
1327,28606,3890
1328,29468,3592
1329,30560,3358
1330,30959,6357
1331,29472,6212
1332,28476,6099
1333,27952,5524
1334,27742,5083
1335,27891,4638
1336,28263,4246
1337,28899,3924
1338,29786,3665
1339,30758,3455
1340,31100,6564
1341,29522,6428
1342,28380,6314
1343,27759,5698
1344,27463,5238
1345,27430,4786
1346,27734,4401
1347,28316,4042
1348,29105,3752
1349,30090,3518
1350,30427,6654
1351,28783,6512
1352,27683,6390
1353,27095,5743
1354,26798,5244
1355,26892,4742
1356,27279,4298
1357,27904,3935
1358,28753,3637
1359,29812,3391
1360,30192,6407
1361,28710,6262
1362,27660,6143
1363,27156,5513
1364,26984,5047
1365,27198,4574
1366,27694,4165
1367,28406,3813
1368,29306,3526
1369,30424,3308
1370,30885,6286
1371,29475,6147
1372,28512,6038
1373,28110,5433
1374,27951,4986
1375,28087,4546
1376,28593,4175
1377,29243,3851
1378,30091,3593
1379,31169,3385
1380,31484,6427
1381,29890,6301
1382,28800,6198
1383,28185,5611
1384,27899,5169
1385,27899,4721
1386,28205,4313
1387,28797,3969
1388,29564,3693
1389,30519,3459
1390,30833,6547
1391,29101,6416
1392,27991,6296
1393,27354,5706
1394,27035,5245
1395,26983,4791
1396,27338,4398
1397,27829,4069
1398,28595,3772
1399,29591,3535
1400,29985,6685
1401,28357,6526
1402,27227,6400
1403,26681,5711
1404,26426,5189
1405,26466,4675
1406,26897,4242
1407,27537,3891
1408,28358,3584
1409,29489,3327
1410,30022,6259
1411,28673,6104
1412,27856,5974
1413,27538,5337
1414,27528,4875
1415,27831,4416
1416,28447,4031
1417,29242,3712
1418,30235,3461
1419,31398,3269
1420,31806,6221
1421,30395,6102
1422,29498,5997
1423,28983,5464
1424,28760,5023
1425,28890,4610
1426,29253,4258
1427,29831,3947
1428,30558,3695
1429,31496,3495
1430,31679,6682
1431,29821,6560
1432,28545,6439
1433,27799,5822
1434,27291,5356
1435,27237,4885
1436,27532,4473
1437,27974,4105
1438,28700,3805
1439,29704,3562
1440,29963,6731
1441,28256,6578
1442,27154,6437
1443,26485,5761
1444,26162,5258
1445,26297,4732
1446,26715,4277
1447,27288,3891
1448,28257,3571
1449,29425,3327
1450,29945,6254
1451,28661,6106
1452,27863,5985
1453,27495,5381
1454,27483,4919
1455,27718,4472
1456,28250,4097
1457,29003,3777
1458,29957,3529
1459,31094,3307
1460,31526,6286
1461,30045,6152
1462,29106,6046
1463,28572,5476
1464,28338,5040
1465,28389,4623
1466,28781,4261
1467,29336,3940
1468,30065,3681
1469,31087,3483
1470,31272,6618
1471,29554,6485
1472,28372,6370
1473,27661,5775
1474,27334,5285
1475,27309,4803
1476,27571,4381
1477,28088,4030
1478,28827,3750
1479,29802,3522
1480,30163,6651
1481,28559,6497
1482,27434,6369
1483,26836,5683
1484,26601,5168
1485,26645,4659
1486,27059,4217
1487,27727,3861
1488,28577,3565
1489,29660,3332
1490,30175,6313
1491,28810,6177
1492,27944,6045
1493,27542,5442
1494,27419,4989
1495,27640,4557
1496,28155,4159
1497,28855,3832
1498,29844,3565
1499,30969,3349
