generation,fish,shark
926,9445,1462
927,9587,1352
928,9811,1256
929,10137,1179
930,10191,2229
931,9607,2182
932,9205,2143
933,8961,1930
934,8847,1762
935,8876,1590
936,8977,1446
937,9179,1319
938,9476,1219
939,9809,1138
940,9947,2151
941,9472,2103
942,9120,2061
943,8944,1851
944,8922,1689
945,8985,1529
946,9142,1393
947,9405,1276
948,9732,1177
949,10107,1103
950,10290,2089
951,9821,2044
952,9501,2006
953,9366,1809
954,9331,1663
955,9376,1518
956,9533,1393
957,9752,1283
958,10036,1194
959,10396,1121
960,10493,2126
961,9978,2084
962,9632,2047
963,9429,1861
964,9330,1720
965,9335,1567
966,9444,1443
967,9625,1340
968,9888,1249
969,10217,1175
970,10310,2233
971,9731,2187
972,9328,2147
973,9096,1938
974,8962,1776
975,8937,1617
976,9027,1473
977,9202,1347
978,9435,1241
979,9767,1162
980,9904,2196
981,9379,2146
982,9032,2103
983,8871,1877
984,8800,1711
985,8844,1546
986,9023,1405
987,9258,1290
988,9551,1195
989,9961,1119
990,10132,2114
991,9660,2067
992,9376,2029
993,9222,1822
994,9172,1668
995,9250,1515
996,9402,1388
997,9619,1272
998,9911,1184
999,10271,1111
